accX,accY,accZ
-1476,108,17076
-1528,48,16952
-1584,28,17064
-1516,84,17024
-1564,72,16976
-1496,124,17136
-1600,24,17060
-1524,44,16952
-1472,72,16964
-1472,140,17040
-1540,88,17048
-1480,20,16964
-1548,80,16908
-1512,64,17168
-1532,48,16980
-1512,96,16884
-1544,20,16888
-1512,60,16972
-1540,92,16884
-1592,48,16956
-1560,76,17036
-1532,56,17036
-1592,-8,16980
-1508,80,17016
-1492,8,17004
-1488,64,17076
-1556,88,17036
-1536,56,16944
-1540,60,16968
-1600,104,17064
-1556,72,17072
-1568,48,17004
-1628,36,17076
-1552,52,16980
-1528,120,16916
-1492,16,16984
-1568,72,16920
-1552,120,17020
-1552,88,16880
-1504,96,16960
-1504,44,17100
-1520,80,17040
-1568,96,16948
-1584,116,16992
-1612,72,17016
-1544,88,17012
-1580,28,17020
-1488,88,16960
-1536,64,16972
-1568,60,16868
-1592,76,16936
-1460,96,17064
-1528,84,16964
-1548,40,16920
-1528,100,16964
-1580,100,16936
-1552,116,16864
-1564,40,16944
-1588,60,17016
-1560,104,16908
-1496,96,16932
-1512,24,16980
-1496,100,16932
-1584,80,17044
-1556,68,17024
-1584,60,16980
-1536,64,16928
-1616,68,16964
-1556,20,16948
-1604,124,16976
-1524,56,16916
-1548,88,17032
-1540,76,16960
-1584,84,16980
-1580,60,16840
-1544,40,17016
-1508,68,16916
-1600,68,17012
-1508,64,17020
-1560,112,17000
-1564,40,16960
-1616,64,16952
-1632,68,16996
-1548,112,16956
-1520,40,16984
-1552,40,17000
-1536,24,16976
-1564,68,17036
-1540,60,16916
-1608,76,16924
-1536,-40,17012
-1612,48,17012
-1624,92,16976
-1576,52,16960
-1568,8,16948
-1572,96,16940
-1596,44,17020
-1528,60,16976
-1612,120,16968
-1584,64,16960
-1560,140,16888
-1512,32,16968
-1536,56,16920
-1572,52,17016
-1564,-12,16920
-1596,100,16968
-1584,20,16944
-1520,92,16912
-1572,32,17020
-1596,56,17052
-1556,68,16980
-1564,100,16940
-1552,28,17076
-1560,60,16980
-1512,64,16940
-1552,44,16888
-1556,88,17012
-1564,120,17036
-1612,24,16948
-1644,76,17092
-1588,112,17064
-1600,32,16992
-1552,72,17036
-1656,64,17104
-1520,64,17052
-1604,60,16980
-1656,100,16956
-1552,68,17012
-1636,56,16964
-1592,128,16968
-1576,108,17012
-1564,104,16920
-1588,164,16948
-1576,108,16916
-1596,100,16936
-1576,24,16944
-1588,120,17104
-1600,80,17004
-1568,88,16992
-1600,80,17028
-1536,96,16952
-1624,104,17060
-1556,76,16920
-1588,80,17020
-1592,96,16972
-1636,44,16972
-1612,104,16888
-1556,132,16988
-1572,100,16992
-1608,112,16940
-1568,96,17016
-1596,88,16992
-1568,36,17000
-1596,24,16804
-1632,116,16980
-1572,140,16816
-1660,-20,17040
-1496,0,16956
-1540,32,17016
-1580,84,17028
-1656,148,16920
-1640,84,16940
-1536,64,17020
-1604,60,16856
-1616,76,16960
-1580,80,17048
-1648,92,16916
-1652,36,16976
-1640,80,16952
-1668,44,17012
-1576,40,16932
-1564,120,17008
-1596,76,16976
-1548,112,17064
-1596,80,17032
-1668,136,16992
-1556,96,16984
-1552,120,16920
-1624,104,16940
-1652,84,17048
-1636,28,17044
-1616,108,17020
-1572,64,16948
-1572,44,16940
-1588,96,16976
-1616,40,17012
-1588,72,16896
-1608,104,16888
-1600,68,16892
-1592,40,16952
-1548,104,17060
-1540,112,16976
-1612,124,16940
-1564,136,17016
-1672,68,17008
-1516,68,16956
-1608,116,16960
-1568,36,17032
-1536,100,17108
-1588,76,16932
-1568,28,16908
-1592,44,17048
-1624,76,16964
-1552,88,17088
-1596,72,16944
-1536,52,17012
-1620,20,17020
-1620,116,16960
-1608,100,17028
-1628,124,16992
-1636,60,16936
-1556,96,17000
-1592,68,17080
-1600,108,17036
-1612,120,16908
-1556,68,17032
-1544,100,16940
-1604,4,16912
-1624,120,16924
-1600,56,16916
-1596,72,17036
-1604,64,16944
-1612,96,16920
-1656,20,17116
-1568,48,17024
-1600,48,16964
-1588,56,16888
-1624,164,16924
-1588,72,17012
-1584,52,16924
-1480,116,16972
-1580,56,16952
-1576,72,17004
-1616,84,16952
-1620,60,16952
-1596,84,17044
-1656,104,16972
-1588,104,17080
-1564,76,17016
-1620,112,16924
-1624,28,17024
-1608,56,16956
-1504,64,17056
-1584,96,16988
-1524,32,17016
-1612,128,16924
-1572,176,16888
-1628,36,17012
-1632,80,16900
-1612,28,16976
-1552,80,16972
-1564,72,17000
-1600,64,16892
-1544,60,16988
-1576,60,17028
-1552,120,17072
-1608,96,16880
-1608,88,16904
-1612,120,17016
-1576,44,17088
-1636,84,16928
-1628,72,17068
-1612,80,16844
-1568,116,16964
-1604,52,16984
-1580,100,16864
-1600,92,17172
-1632,64,16952
-1624,100,17052
-1640,12,16964
-1572,80,16952
-1572,24,16972
-1592,116,16948
-1652,64,16932
-1632,84,16956
-1584,52,16920
-1564,116,16976
-1600,84,16868
-1600,160,16864
-1580,140,16956
-1648,100,17008
-1576,48,16968
-1596,56,16920
-1648,72,16920
-1568,108,16884
-1536,276,16872
-1640,92,16872
-1652,-28,17076
-1628,8,16944
-1584,60,17080
-1636,116,16964
-1656,76,17016
-1596,220,17016
-1660,88,17044
-1604,100,17068
-1576,96,16984
-1608,124,17020
-1632,40,16980
-1624,44,16940
-1648,72,16912
-1612,96,17124
-1556,96,17052
-1588,76,16952
-1628,56,17072
-1592,44,16908
-1608,84,16972
-1608,76,16976
-1600,-8,17060
-1640,84,16968
-1588,116,17020
-1620,144,17028
-1608,40,17084
-1608,132,17048
-1620,132,16912
-1564,60,17004
-1592,52,16948
-1604,56,17044
-1616,116,17036
-1560,100,16924
-1628,52,16992
-1640,60,16924
-1596,44,16988
-1572,120,16972
-1588,56,17040
-1592,56,17160
-1580,80,16948
-1640,60,16952
-1548,92,16904
-1676,144,17008
-1588,92,17004
-1600,108,17044
-1596,60,16980
-1568,80,16992
-1548,88,16952
-1608,40,16996
-1620,76,17000
-1628,108,16804
-1584,88,17004
-1556,84,17020
-1568,100,16980
-1552,160,17012
-1604,120,17036
-1548,132,17096
-1604,36,16904
-1608,76,16944
-1540,80,17020
-1592,92,16988
-1628,20,17052
-1592,136,16940
-1580,180,17008
-15564,-8600,28804
-10812,1052,10212
-4540,-4312,3268
9004,112,15904
13156,4436,13640
-5788,4172,17624
2308,604,17672
3072,-5472,16720
-3784,5884,15768
-2184,9156,15704
1120,6316,18204
6736,-4900,17124
-3076,264,14700
-2788,-2044,15448
-4416,-3220,19160
-4372,-3660,17748
-2792,-1512,16464
-2560,-88,15716
-1436,1268,16768
-448,1644,17200
-2020,-100,17396
-1400,332,17192
-1576,472,16776
-1576,440,16836
-1564,364,16896
-1556,272,17072
-1596,440,17004
-1584,344,16948
-1524,420,16996
-708,-256,14292
768,-3508,16156
-2428,1712,18016
-1868,560,16496
-1828,48,16668
-1676,652,16416
-2156,-28,15544
-1644,420,17172
-3628,-1048,15944
-1440,-868,13052
104,648,17564
584,596,16364
-500,352,17780
-1444,-840,17208
-928,-936,17572
92,-2100,16044
3280,824,14336
-1940,1504,16456
-2964,1936,16896
-2628,472,16676
-1464,108,16936
-1288,-476,17256
-1528,-664,17272
-1260,-188,17040
-1360,-216,17040
-1204,-12,17048
176,-16,16900
468,-36,17088
-560,-316,17296
-548,-32,16564
-896,-24,16828
-1872,-392,16996
-2524,-188,16756
-1696,-764,16860
-748,-412,16456
-2216,-972,16508
-2384,128,16732
-2788,-1544,17848
-816,-1640,16820
-1432,-1624,16936
-1928,-892,17256
-1680,-624,16916
-1604,-904,16852
-1672,-1552,17096
-1744,-1580,17028
-1764,-1932,17008
-1776,-1324,17096
-1800,-1196,16924
-1708,-992,17036
-1644,-892,17220
-1616,-1072,17092
-1648,-828,16972
-1668,-904,17044
-1652,-948,16964
-1520,-540,17060
-1408,-868,17064
-1640,-884,17232
-1756,-960,17052
-1704,-820,16996
-1784,-752,17220
-1612,-732,17228
-1524,-804,17172
-1456,-560,17136
-1352,-860,17112
-1456,-776,17164
-1436,-984,16972
-1644,-1164,17652
-1284,-1140,17096
-1200,-1000,16980
-1192,-900,17196
-1088,-1308,16972
-1160,-1244,17096
-1196,-1172,17060
-1160,-1520,17080
-1260,-1536,17088
-1292,-1292,16992
-1256,-1400,16992
-1456,-1200,17080
-1644,-996,17168
-1612,-800,16996
-1596,-1184,17052
-1588,-1112,17152
-1732,-1172,17244
-1856,-1076,17108
-1840,-1108,16996
-1796,-1128,17008
-1872,-1124,17048
-1772,-940,16984
-1972,-908,16984
-1680,-940,16944
-1628,-1100,17116
-1612,-1208,17420
-1244,-864,17524
-1600,-1300,17228
-1348,-1392,17180
-1408,-1340,17124
-1240,-1288,17168
-1240,-1440,17144
-1244,-1476,17140
-1100,-1364,17216
-1184,-1288,17184
-1260,-1304,17136
-1312,-1448,16968
-980,-1576,16984
-828,-1660,17212
-592,-1788,17000
-724,-1524,17180
-872,-1520,17004
-944,-1468,17004
-904,-1468,16912
-760,-1548,17168
-616,-1684,17016
-804,-1648,17308
-1104,-1656,17236
-1156,-2056,17020
-1280,-2080,17080
-1200,-2084,16900
-1104,-1908,17200
-1136,-2048,17108
-884,-1920,17184
-904,-2356,17224
-992,-2272,17184
-1168,-2288,17156
-1188,-2340,17012
-1164,-2080,17048
-1156,-2072,17140
-1024,-2056,17192
-1052,-2016,17140
-968,-2060,17128
-928,-1944,17076
-1004,-1896,17264
-944,-1852,17208
-760,-1948,16932
-904,-1952,17280
-1020,-1916,17064
-1048,-1880,17188
-1076,-1924,17164
-1108,-1904,17236
-1216,-1812,17112
-1216,-1772,17156
-1036,-1876,17208
-876,-1792,17292
-764,-1540,17256
-684,-1516,17136
-652,-1532,16936
-684,-1888,17076
-504,-2084,16976
-632,-1932,16840
-1180,-1912,16656
-684,-1712,16420
-940,-1644,17144
-880,-1720,17184
-1016,-2184,17400
-1360,-1500,17068
-1384,-1540,17048
-1136,-1876,16860
